order,product,collection,workspace_id,article_id,title,url,state,created_at,updated_at
29,Supporting Documents,Supporting Documents,e4gi378c,10326877,Oloid Sub-Processors List,https://oloid.help/en/articles/10326877-oloid-sub-processors-list,published,2024-12-26 04:44:10,2026-09-09 20:32:46
348,Supporting Documents,Supporting Documents,e4gi378c,11583623,What's new in Oloid,https://oloid.help/en/articles/11583623-what-s-new-in-oloid,published,2025-06-16 14:33:01,2026-07-09 04:44:22
735,Supporting Documents,Supporting Videos,e4gi378c,13750008,How to use the Oloid Help Center - Video Tutorial,https://oloid.help/en/articles/13750008-how-to-use-the-oloid-help-center-video-tutorial,published,2026-02-17 07:37:11,2026-02-17 07:39:52
1015,Supporting Documents,Supporting Documents,e4gi378c,12041579,List of Oloid Supported Integrations,https://oloid.help/en/articles/12041579-list-of-oloid-supported-integrations,published,2025-08-19 09:40:08,2025-09-01 04:44:44
1029,Supporting Documents,Supporting Documents,e4gi378c,10315274,Oloid Product Updates,https://oloid.help/en/articles/10315274-oloid-product-updates,published,2024-12-23 06:53:59,2025-08-26 03:48:42
1324,Supporting Documents,Supporting Documents,e4gi378c,10510647,Facial Scan Policy,https://oloid.help/en/articles/10510647-facial-scan-policy,published,2025-02-05 04:20:24,2025-02-05 04:24:23
